[20250219 02:12:37 INFO    ] {'dataset_name': 'koniq10k', 'koniq10k_path': '../all_dataset/KonIQ-10K/1024x768', 'koniq10k_label': './data/koniq10k/koniq10k_label.txt', 'livec_path': '../all_dataset/LIVEC/Images/', 'livec_label': './data/livec/livec_label.txt', 'spaq_path': '../all_dataset/SPAQ/TestImage/', 'spaq_label': './data/spaq/spaq_label.txt', 'tid2013_path': '../all_dataset/tid2013/distorted_images/', 'tid2013_label': 'data/tid2013/tid2013_label.txt', 'kadid10k_path': '../all_dataset/KADID-10K/images/', 'kadid10k_label': './data/kadid10k/kadid10k_label.txt', 'batch_size': 12, 'learning_rate': 1e-05, 'weight_decay': 1e-05, 'n_epoch': 200, 'val_freq': 1, 'T_max': 50, 'eta_min': 0, 'num_avg_val': 1, 'num_workers': 8, 'split_seed': 20, 'train_keep_ratio': 1.0, 'val_keep_ratio': 1.0, 'crop_size': 224, 'prob_aug': 0.7, 'patch_size': 8, 'img_size': 224, 'embed_dim': 768, 'dim_mlp': 768, 'num_heads': [4, 4], 'window_size': 4, 'depths': [2, 2], 'num_outputs': 1, 'num_tab': 2, 'scale': 0.8, 'ckpt_path': './output_koniq10k/models/koniq10k', 'log_path': './output_koniq10k/log/koniq10k', 'log_file': 'koniq10k.log', 'tensorboard_path': './output_koniq10k/koniq10k'}
[20250219 02:12:40 INFO    ] number of train scenes: 8058
[20250219 02:12:40 INFO    ] number of val scenes: 2015
[20250219 02:12:43 INFO    ] #Params : 172.537214 [M]
[20250219 02:12:47 INFO    ] Running training epoch 1
[20250219 02:48:21 INFO    ] train epoch:1 / loss:0.009282 / SRCC:0.8315 / PLCC:0.8372
[20250219 02:48:21 INFO    ] Starting eval...
[20250219 02:48:21 INFO    ] Running testing in epoch 1
[20250219 02:57:01 INFO    ] Epoch:1 ===== loss:0.004511 ===== SRCC:0.9109 ===== PLCC:0.9322
[20250219 02:57:01 INFO    ] Eval done...
[20250219 02:57:01 INFO    ] ======================================================================================
[20250219 02:57:01 INFO    ] ============================== best main score is 1.8431079784941897 =================================
[20250219 02:57:01 INFO    ] ======================================================================================
[20250219 02:57:02 INFO    ] Saving weights and model of epoch1, SRCC:0.9109477333830767, PLCC:0.9321602451111131
[20250219 02:57:02 INFO    ] Epoch 1 done. Time: 4.4e+01min
[20250219 02:57:02 INFO    ] Running training epoch 2
[20250219 03:06:58 INFO    ] train epoch:2 / loss:0.003595 / SRCC:0.9181 / PLCC:0.939
[20250219 03:06:58 INFO    ] Starting eval...
[20250219 03:06:58 INFO    ] Running testing in epoch 2
[20250219 03:08:42 INFO    ] Epoch:2 ===== loss:0.004585 ===== SRCC:0.9126 ===== PLCC:0.9323
[20250219 03:08:42 INFO    ] Eval done...
[20250219 03:08:42 INFO    ] ======================================================================================
[20250219 03:08:42 INFO    ] ============================== best main score is 1.8449476379244172 =================================
[20250219 03:08:42 INFO    ] ======================================================================================
[20250219 03:08:43 INFO    ] Saving weights and model of epoch2, SRCC:0.9126038579957185, PLCC:0.9323437799286987
[20250219 03:08:43 INFO    ] Epoch 2 done. Time: 1.2e+01min
[20250219 03:08:43 INFO    ] Running training epoch 3
[20250219 03:18:32 INFO    ] train epoch:3 / loss:0.002552 / SRCC:0.9408 / PLCC:0.9571
[20250219 03:18:32 INFO    ] Starting eval...
[20250219 03:18:32 INFO    ] Running testing in epoch 3
[20250219 03:20:45 INFO    ] Epoch:3 ===== loss:0.004371 ===== SRCC:0.9147 ===== PLCC:0.9342
[20250219 03:20:45 INFO    ] Eval done...
[20250219 03:20:45 INFO    ] ======================================================================================
[20250219 03:20:45 INFO    ] ============================== best main score is 1.8488809939636335 =================================
[20250219 03:20:45 INFO    ] ======================================================================================
[20250219 03:20:46 INFO    ] Saving weights and model of epoch3, SRCC:0.9146526497788632, PLCC:0.9342283441847703
[20250219 03:20:46 INFO    ] Epoch 3 done. Time: 1.2e+01min
[20250219 03:20:46 INFO    ] Running training epoch 4
[20250219 03:30:41 INFO    ] train epoch:4 / loss:0.001881 / SRCC:0.9554 / PLCC:0.9686
[20250219 03:30:41 INFO    ] Starting eval...
[20250219 03:30:41 INFO    ] Running testing in epoch 4
[20250219 03:32:41 INFO    ] Epoch:4 ===== loss:0.004106 ===== SRCC:0.9251 ===== PLCC:0.9442
[20250219 03:32:41 INFO    ] Eval done...
[20250219 03:32:41 INFO    ] ======================================================================================
[20250219 03:32:41 INFO    ] ============================== best main score is 1.8692954874418923 =================================
[20250219 03:32:41 INFO    ] ======================================================================================
[20250219 03:32:42 INFO    ] Saving weights and model of epoch4, SRCC:0.9251169170568734, PLCC:0.9441785703850188
[20250219 03:32:42 INFO    ] Epoch 4 done. Time: 1.2e+01min
[20250219 03:32:42 INFO    ] Running training epoch 5
[20250219 03:42:35 INFO    ] train epoch:5 / loss:0.001466 / SRCC:0.9654 / PLCC:0.9756
[20250219 03:42:35 INFO    ] Starting eval...
[20250219 03:42:35 INFO    ] Running testing in epoch 5
[20250219 03:44:30 INFO    ] Epoch:5 ===== loss:0.004622 ===== SRCC:0.922 ===== PLCC:0.9425
[20250219 03:44:30 INFO    ] Eval done...
[20250219 03:44:30 INFO    ] Epoch 5 done. Time: 1.2e+01min
[20250219 03:44:30 INFO    ] Running training epoch 6
[20250219 03:54:28 INFO    ] train epoch:6 / loss:0.001135 / SRCC:0.9736 / PLCC:0.9811
[20250219 03:54:28 INFO    ] Starting eval...
[20250219 03:54:28 INFO    ] Running testing in epoch 6
[20250219 03:56:28 INFO    ] Epoch:6 ===== loss:0.004555 ===== SRCC:0.9218 ===== PLCC:0.941
[20250219 03:56:28 INFO    ] Eval done...
[20250219 03:56:28 INFO    ] Epoch 6 done. Time: 1.2e+01min
[20250219 03:56:28 INFO    ] Running training epoch 7
[20250219 04:06:30 INFO    ] train epoch:7 / loss:0.0009786 / SRCC:0.9773 / PLCC:0.9838
[20250219 04:06:30 INFO    ] Starting eval...
[20250219 04:06:30 INFO    ] Running testing in epoch 7
[20250219 04:08:30 INFO    ] Epoch:7 ===== loss:0.004446 ===== SRCC:0.921 ===== PLCC:0.9418
[20250219 04:08:30 INFO    ] Eval done...
[20250219 04:08:30 INFO    ] Epoch 7 done. Time: 1.2e+01min
[20250219 04:08:30 INFO    ] Running training epoch 8
[20250219 04:18:32 INFO    ] train epoch:8 / loss:0.0008297 / SRCC:0.9811 / PLCC:0.9863
[20250219 04:18:32 INFO    ] Starting eval...
[20250219 04:18:32 INFO    ] Running testing in epoch 8
[20250219 04:20:32 INFO    ] Epoch:8 ===== loss:0.003661 ===== SRCC:0.924 ===== PLCC:0.9449
[20250219 04:20:32 INFO    ] Eval done...
[20250219 04:20:32 INFO    ] Epoch 8 done. Time: 1.2e+01min
[20250219 04:20:32 INFO    ] Running training epoch 9
[20250219 04:30:24 INFO    ] train epoch:9 / loss:0.0007374 / SRCC:0.9831 / PLCC:0.9878
[20250219 04:30:24 INFO    ] Starting eval...
[20250219 04:30:24 INFO    ] Running testing in epoch 9
[20250219 04:32:18 INFO    ] Epoch:9 ===== loss:0.004278 ===== SRCC:0.923 ===== PLCC:0.9429
[20250219 04:32:18 INFO    ] Eval done...
[20250219 04:32:18 INFO    ] Epoch 9 done. Time: 1.2e+01min
[20250219 04:32:18 INFO    ] Running training epoch 10
[20250219 04:42:12 INFO    ] train epoch:10 / loss:0.0006773 / SRCC:0.9849 / PLCC:0.9888
[20250219 04:42:12 INFO    ] Starting eval...
[20250219 04:42:12 INFO    ] Running testing in epoch 10
[20250219 04:44:13 INFO    ] Epoch:10 ===== loss:0.005054 ===== SRCC:0.9185 ===== PLCC:0.9405
[20250219 04:44:13 INFO    ] Eval done...
[20250219 04:44:13 INFO    ] Epoch 10 done. Time: 1.2e+01min
[20250219 04:44:13 INFO    ] Running training epoch 11
[20250219 04:54:06 INFO    ] train epoch:11 / loss:0.0006882 / SRCC:0.9849 / PLCC:0.9886
[20250219 04:54:06 INFO    ] Starting eval...
[20250219 04:54:06 INFO    ] Running testing in epoch 11
[20250219 04:56:00 INFO    ] Epoch:11 ===== loss:0.004855 ===== SRCC:0.9216 ===== PLCC:0.9422
[20250219 04:56:00 INFO    ] Eval done...
[20250219 04:56:00 INFO    ] Epoch 11 done. Time: 1.2e+01min
[20250219 04:56:00 INFO    ] Running training epoch 12
[20250219 05:05:53 INFO    ] train epoch:12 / loss:0.0006921 / SRCC:0.9848 / PLCC:0.9886
[20250219 05:05:53 INFO    ] Starting eval...
[20250219 05:05:53 INFO    ] Running testing in epoch 12
[20250219 05:07:57 INFO    ] Epoch:12 ===== loss:0.003923 ===== SRCC:0.9204 ===== PLCC:0.9421
[20250219 05:07:57 INFO    ] Eval done...
[20250219 05:07:57 INFO    ] Epoch 12 done. Time: 1.2e+01min
[20250219 05:07:57 INFO    ] Running training epoch 13
[20250219 05:17:50 INFO    ] train epoch:13 / loss:0.0006325 / SRCC:0.9863 / PLCC:0.9895
[20250219 05:17:50 INFO    ] Starting eval...
[20250219 05:17:50 INFO    ] Running testing in epoch 13
[20250219 05:19:47 INFO    ] Epoch:13 ===== loss:0.003833 ===== SRCC:0.9232 ===== PLCC:0.9425
[20250219 05:19:47 INFO    ] Eval done...
[20250219 05:19:47 INFO    ] Epoch 13 done. Time: 1.2e+01min
[20250219 05:19:47 INFO    ] Running training epoch 14
[20250219 05:29:38 INFO    ] train epoch:14 / loss:0.0005694 / SRCC:0.9877 / PLCC:0.9906
[20250219 05:29:38 INFO    ] Starting eval...
[20250219 05:29:38 INFO    ] Running testing in epoch 14
[20250219 05:31:39 INFO    ] Epoch:14 ===== loss:0.004799 ===== SRCC:0.9206 ===== PLCC:0.9424
[20250219 05:31:39 INFO    ] Eval done...
[20250219 05:31:39 INFO    ] Epoch 14 done. Time: 1.2e+01min
[20250219 05:31:39 INFO    ] Running training epoch 15
[20250219 05:41:40 INFO    ] train epoch:15 / loss:0.0005494 / SRCC:0.9881 / PLCC:0.9909
[20250219 05:41:40 INFO    ] Starting eval...
[20250219 05:41:40 INFO    ] Running testing in epoch 15
[20250219 05:43:41 INFO    ] Epoch:15 ===== loss:0.004272 ===== SRCC:0.9222 ===== PLCC:0.944
[20250219 05:43:41 INFO    ] Eval done...
[20250219 05:43:41 INFO    ] Epoch 15 done. Time: 1.2e+01min
[20250219 05:43:41 INFO    ] Running training epoch 16
[20250219 05:53:35 INFO    ] train epoch:16 / loss:0.0006096 / SRCC:0.9867 / PLCC:0.9899
[20250219 05:53:35 INFO    ] Starting eval...
[20250219 05:53:35 INFO    ] Running testing in epoch 16
[20250219 05:55:38 INFO    ] Epoch:16 ===== loss:0.004653 ===== SRCC:0.9173 ===== PLCC:0.9386
[20250219 05:55:38 INFO    ] Eval done...
[20250219 05:55:38 INFO    ] Epoch 16 done. Time: 1.2e+01min
[20250219 05:55:38 INFO    ] Running training epoch 17
[20250219 06:05:34 INFO    ] train epoch:17 / loss:0.0005939 / SRCC:0.987 / PLCC:0.9902
[20250219 06:05:34 INFO    ] Starting eval...
