[20250220 15:46:40 INFO    ] {'dataset_name': 'kadid10k', 'koniq10k_path': '../all_dataset/KonIQ-10K/1024x768', 'koniq10k_label': './data/koniq10k/koniq10k_label.txt', 'livec_path': '../all_dataset/LIVEC/Images/', 'livec_label': './data/livec/livec_label.txt', 'spaq_path': '../all_dataset/SPAQ/TestImage/', 'spaq_label': './data/spaq/spaq_label.txt', 'tid2013_path': '../all_dataset/tid2013/distorted_images/', 'tid2013_label': 'data/tid2013/tid2013_label.txt', 'kadid10k_path': '../all_dataset/KADID-10K/images/', 'kadid10k_label': './data/kadid10k/kadid10k_label.txt', 'csiq_path': '../all_dataset/CSIQ/dist_imgs/', 'csiq_label': './data/CSIQ/csiq_label.txt', 'batch_size': 12, 'learning_rate': 1e-05, 'weight_decay': 1e-05, 'n_epoch': 200, 'val_freq': 1, 'T_max': 50, 'eta_min': 0, 'num_avg_val': 1, 'num_workers': 8, 'split_seed': 20, 'train_keep_ratio': 1.0, 'val_keep_ratio': 1.0, 'crop_size': 224, 'prob_aug': 0.7, 'patch_size': 8, 'img_size': 224, 'embed_dim': 768, 'dim_mlp': 768, 'num_heads': [4, 4], 'window_size': 4, 'depths': [2, 2], 'num_outputs': 1, 'num_tab': 2, 'scale': 0.8, 'ckpt_path': './output_kadid10k/models/kadid10k', 'log_path': './output_kadid10k/log/kadid10k', 'log_file': 'kadid10k.log', 'tensorboard_path': './output_kadid10k/kadid10k'}
[20250220 15:46:41 INFO    ] number of train scenes: 8000
[20250220 15:46:41 INFO    ] number of val scenes: 2125
[20250220 15:46:45 INFO    ] #Params : 172.537214 [M]
[20250220 15:46:51 INFO    ] Running training epoch 1
[20250220 16:09:08 INFO    ] train epoch:1 / loss:0.02349 / SRCC:0.8296 / PLCC:0.8334
[20250220 16:09:08 INFO    ] Starting eval...
[20250220 16:09:08 INFO    ] Running testing in epoch 1
[20250220 16:16:17 INFO    ] Epoch:1 ===== loss:0.01309 ===== SRCC:0.9096 ===== PLCC:0.9153
[20250220 16:16:17 INFO    ] Eval done...
[20250220 16:16:17 INFO    ] ======================================================================================
[20250220 16:16:17 INFO    ] ============================== best main score is 1.8249209467643162 =================================
[20250220 16:16:17 INFO    ] ======================================================================================
[20250220 16:16:18 INFO    ] Saving weights and model of epoch1, SRCC:0.9095762672706629, PLCC:0.9153446794936533
[20250220 16:16:18 INFO    ] Epoch 1 done. Time: 2.9e+01min
[20250220 16:16:18 INFO    ] Running training epoch 2
[20250220 16:25:36 INFO    ] train epoch:2 / loss:0.01066 / SRCC:0.9212 / PLCC:0.9279
[20250220 16:25:36 INFO    ] Starting eval...
[20250220 16:25:36 INFO    ] Running testing in epoch 2
[20250220 16:26:36 INFO    ] Epoch:2 ===== loss:0.01467 ===== SRCC:0.9054 ===== PLCC:0.9105
[20250220 16:26:36 INFO    ] Eval done...
[20250220 16:26:36 INFO    ] Epoch 2 done. Time: 1e+01min
[20250220 16:26:36 INFO    ] Running training epoch 3
[20250220 16:35:57 INFO    ] train epoch:3 / loss:0.008999 / SRCC:0.9329 / PLCC:0.9395
[20250220 16:35:57 INFO    ] Starting eval...
[20250220 16:35:57 INFO    ] Running testing in epoch 3
[20250220 16:37:00 INFO    ] Epoch:3 ===== loss:0.01074 ===== SRCC:0.9256 ===== PLCC:0.9294
[20250220 16:37:00 INFO    ] Eval done...
[20250220 16:37:00 INFO    ] ======================================================================================
[20250220 16:37:00 INFO    ] ============================== best main score is 1.8550386982897233 =================================
[20250220 16:37:00 INFO    ] ======================================================================================
[20250220 16:37:02 INFO    ] Saving weights and model of epoch3, SRCC:0.9256462084394158, PLCC:0.9293924898503075
[20250220 16:37:02 INFO    ] Epoch 3 done. Time: 1e+01min
[20250220 16:37:02 INFO    ] Running training epoch 4
[20250220 16:46:25 INFO    ] train epoch:4 / loss:0.007975 / SRCC:0.9414 / PLCC:0.9466
[20250220 16:46:25 INFO    ] Starting eval...
[20250220 16:46:25 INFO    ] Running testing in epoch 4
[20250220 16:47:24 INFO    ] Epoch:4 ===== loss:0.01023 ===== SRCC:0.9312 ===== PLCC:0.9328
[20250220 16:47:24 INFO    ] Eval done...
[20250220 16:47:24 INFO    ] ======================================================================================
[20250220 16:47:24 INFO    ] ============================== best main score is 1.8640089625618712 =================================
[20250220 16:47:24 INFO    ] ======================================================================================
[20250220 16:47:25 INFO    ] Saving weights and model of epoch4, SRCC:0.9312333083397238, PLCC:0.9327756542221475
[20250220 16:47:25 INFO    ] Epoch 4 done. Time: 1e+01min
[20250220 16:47:25 INFO    ] Running training epoch 5
[20250220 16:56:45 INFO    ] train epoch:5 / loss:0.007136 / SRCC:0.9468 / PLCC:0.9523
[20250220 16:56:45 INFO    ] Starting eval...
[20250220 16:56:45 INFO    ] Running testing in epoch 5
[20250220 16:57:45 INFO    ] Epoch:5 ===== loss:0.01115 ===== SRCC:0.9254 ===== PLCC:0.9269
[20250220 16:57:45 INFO    ] Eval done...
[20250220 16:57:45 INFO    ] Epoch 5 done. Time: 1e+01min
[20250220 16:57:45 INFO    ] Running training epoch 6
[20250220 17:07:06 INFO    ] train epoch:6 / loss:0.006653 / SRCC:0.9504 / PLCC:0.9557
[20250220 17:07:06 INFO    ] Starting eval...
[20250220 17:07:06 INFO    ] Running testing in epoch 6
[20250220 17:08:06 INFO    ] Epoch:6 ===== loss:0.01188 ===== SRCC:0.9271 ===== PLCC:0.9265
[20250220 17:08:06 INFO    ] Eval done...
[20250220 17:08:06 INFO    ] Epoch 6 done. Time: 1e+01min
[20250220 17:08:06 INFO    ] Running training epoch 7
[20250220 17:17:27 INFO    ] train epoch:7 / loss:0.006924 / SRCC:0.9486 / PLCC:0.9538
[20250220 17:17:27 INFO    ] Starting eval...
[20250220 17:17:27 INFO    ] Running testing in epoch 7
[20250220 17:18:26 INFO    ] Epoch:7 ===== loss:0.01054 ===== SRCC:0.9299 ===== PLCC:0.9315
[20250220 17:18:26 INFO    ] Eval done...
[20250220 17:18:26 INFO    ] Epoch 7 done. Time: 1e+01min
[20250220 17:18:26 INFO    ] Running training epoch 8
[20250220 17:27:48 INFO    ] train epoch:8 / loss:0.006731 / SRCC:0.9496 / PLCC:0.9551
[20250220 17:27:48 INFO    ] Starting eval...
[20250220 17:27:48 INFO    ] Running testing in epoch 8
[20250220 17:28:48 INFO    ] Epoch:8 ===== loss:0.0115 ===== SRCC:0.9217 ===== PLCC:0.9242
[20250220 17:28:48 INFO    ] Eval done...
[20250220 17:28:48 INFO    ] Epoch 8 done. Time: 1e+01min
[20250220 17:28:48 INFO    ] Running training epoch 9
[20250220 17:38:09 INFO    ] train epoch:9 / loss:0.005769 / SRCC:0.9561 / PLCC:0.9617
[20250220 17:38:09 INFO    ] Starting eval...
[20250220 17:38:09 INFO    ] Running testing in epoch 9
[20250220 17:39:09 INFO    ] Epoch:9 ===== loss:0.01111 ===== SRCC:0.93 ===== PLCC:0.932
[20250220 17:39:09 INFO    ] Eval done...
[20250220 17:39:09 INFO    ] Epoch 9 done. Time: 1e+01min
[20250220 17:39:09 INFO    ] Running training epoch 10
[20250220 17:48:28 INFO    ] train epoch:10 / loss:0.006425 / SRCC:0.9525 / PLCC:0.9572
[20250220 17:48:28 INFO    ] Starting eval...
[20250220 17:48:28 INFO    ] Running testing in epoch 10
[20250220 17:49:28 INFO    ] Epoch:10 ===== loss:0.01254 ===== SRCC:0.9198 ===== PLCC:0.9176
[20250220 17:49:28 INFO    ] Eval done...
[20250220 17:49:28 INFO    ] Epoch 10 done. Time: 1e+01min
[20250220 17:49:28 INFO    ] Running training epoch 11
[20250220 17:58:48 INFO    ] train epoch:11 / loss:0.005611 / SRCC:0.9579 / PLCC:0.9627
[20250220 17:58:48 INFO    ] Starting eval...
[20250220 17:58:48 INFO    ] Running testing in epoch 11
[20250220 17:59:48 INFO    ] Epoch:11 ===== loss:0.01059 ===== SRCC:0.9303 ===== PLCC:0.9314
[20250220 17:59:48 INFO    ] Eval done...
[20250220 17:59:48 INFO    ] Epoch 11 done. Time: 1e+01min
[20250220 17:59:48 INFO    ] Running training epoch 12
[20250220 18:09:06 INFO    ] train epoch:12 / loss:0.005722 / SRCC:0.9576 / PLCC:0.962
[20250220 18:09:06 INFO    ] Starting eval...
[20250220 18:09:06 INFO    ] Running testing in epoch 12
[20250220 18:10:05 INFO    ] Epoch:12 ===== loss:0.01074 ===== SRCC:0.9287 ===== PLCC:0.9306
[20250220 18:10:05 INFO    ] Eval done...
[20250220 18:10:05 INFO    ] Epoch 12 done. Time: 1e+01min
[20250220 18:10:05 INFO    ] Running training epoch 13
[20250220 18:19:23 INFO    ] train epoch:13 / loss:0.005552 / SRCC:0.9584 / PLCC:0.9631
[20250220 18:19:23 INFO    ] Starting eval...
[20250220 18:19:23 INFO    ] Running testing in epoch 13
[20250220 18:20:23 INFO    ] Epoch:13 ===== loss:0.009564 ===== SRCC:0.9354 ===== PLCC:0.9372
[20250220 18:20:23 INFO    ] Eval done...
